stock_id,name,market,industry,isin,listed_date,is_emerging
6482.TWO,弘煜科,上櫃,文化創意業,TW0006482003,2016/06/13,0
6483.TWO,原創生醫,興櫃,生技醫療業,TW0006483001,2024/03/29,1
6485.TWO,點序,上櫃,半導體業,TW0006485006,2015/11/17,0
6486.TWO,互動,上櫃,通信網路業,TW0006486004,2016/09/13,0
6488.TWO,環球晶,上櫃,半導體業,TW0006488000,2015/09/25,0
6491.TW,晶碩,上市,生技醫療業,TW0006491004,2019/10/07,0
6492.TWO,生華科,上櫃,生技醫療業,TW0006492002,2017/04/24,0
6493.TWO,雷虎生,興櫃,生技醫療業,TW0006493000,2015/01/08,1
6494.TWO,九齊,上櫃,半導體業,TW0006494008,2016/05/09,0
6496.TWO,科懋,上櫃,生技醫療業,TW0006496003,2016/01/07,0
6498.TWO,久禾光,上櫃,光電業,TW0006498009,2025/05/20,0
6499.TWO,益安,上櫃,生技醫療業,TW0006499007,2016/07/27,0
6504.TW,南六,上市,其他業,TW0006504004,2013/05/07,0
6505.TW,台塑化,上市,油電燃氣業,TW0006505001,2003/12/26,0
6506.TWO,雙邦,上櫃,紡織纖維,TW0006506009,2011/05/03,0
6508.TWO,惠光,上櫃,農業科技業,TW0006508005,2004/03/22,0
6509.TWO,聚和,上櫃,化學工業,TW0006509003,2004/04/12,0
6510.TWO,精測,上櫃,半導體業,TW0006510001,2016/03/24,0
6512.TWO,啟發電,上櫃,其他電子業,TW0006512007,2016/03/25,0
6515.TW,穎崴,上市,半導體業,TW0006515000,2021/01/20,0
6516.TWO,勤崴國際,上櫃,資訊服務業,TW0006516008,2019/05/06,0
6517.TWO,保勝光學,上櫃,光電業,TW0006517006,2022/12/15,0
6518.TWO,康科特,興櫃,生技醫療業,TW0006518004,2015/05/13,1
6523.TWO,達爾膚,上櫃,生技醫療業,TW0006523004,2016/06/16,0
6525.TW,捷敏-KY,上市,半導體業,KYG3790U1040,2016/04/12,0
6526.TW,達發,上市,半導體業,TW0006526007,2023/10/19,0
6527.TWO,明達醫,上櫃,生技醫療業,TW0006527005,2019/12/25,0
6530.TWO,創威,上櫃,通信網路業,TW0006530009,2018/01/23,0
6531.TW,愛普*,上市,半導體業,TW0006531007,2016/05/31,0
6532.TWO,瑞耘,上櫃,半導體業,TW0006532005,2016/09/26,0
6533.TW,晶心科,上市,半導體業,TW0006533003,2017/03/14,0
6534.TW,正瀚-創,上市,生技醫療業,TW0006534001,2023/12/21,0
6535.TWO,順藥,上櫃,生技醫療業,TW0006535008,2016/09/26,0
6536.TWO,碩豐,興櫃,資訊服務業,TW0006536006,2015/06/18,1
6538.TWO,倉和,上櫃,電子零組件業,TW0006538002,2016/10/21,0
6539.TWO,麗彤,興櫃,生技醫療業,TW0006539000,2015/10/15,1
6541.TW,泰福-KY,上市,生技醫療業,KYG8676P1037,2017/10/26,0
6542.TWO,隆中,上櫃,文化創意業,TW0006542004,2016/09/08,0
6543.TWO,普惠醫工,興櫃,生技醫療業,TW0006543002,2019/03/27,1
6546.TWO,正基,上櫃,通信網路業,TW0006546005,2022/05/24,0
6547.TWO,高端疫苗,上櫃,生技醫療業,TW0006547003,2018/04/17,0
6548.TWO,長科*,上櫃,半導體業,TW0006548001,2016/09/13,0
6549.TWO,景凱,興櫃,生技醫療業,TW0006549009,2015/10/21,1
6550.TW,北極星藥業-KY,上市,生技醫療業,KYG7171A1085,2022/06/06,0
6552.TW,易華電,上市,半導體業,TW0006552003,2017/01/10,0
6555.TWO,榮炭,興櫃,電子零組件業,TW0006555006,2016/01/25,1
6556.TWO,勝品,上櫃,光電業,TW0006556004,2017/10/31,0
6558.TW,興能高,上市,其他電子業,TW0006558000,2018/12/05,0
6559.TWO,研晶,興櫃,光電業,TW0006559008,2015/12/15,1
6560.TWO,欣普羅,上櫃,光電業,TW0006560006,2017/01/24,0
6561.TWO,是方,上櫃,通信網路業,TW0006561004,2018/06/05,0
6563.TWO,映智,興櫃,半導體業,TW0006563000,2025/03/10,1
6564.TWO,安特羅,興櫃,生技醫療業,TW0006564008,2018/09/18,1
6565.TWO,物聯,興櫃,數位雲端,TW0006565005,2017/01/18,1
6568.TWO,宏觀,上櫃,半導體業,TW0006568009,2016/12/28,0
6569.TWO,醫揚,上櫃,生技醫療業,TW0006569007,2016/12/21,0
6570.TWO,維田,上櫃,電腦及週邊設備業,TW0006570005,2017/12/11,0
6572.TWO,博錸,興櫃,生技醫療業,TW0006572001,2016/02/26,1
6573.TW,虹揚-KY,上市,半導體業,KYG4712A1013,2017/09/26,0
6574.TWO,霈方,上櫃,生技醫療業,TW0006574007,2017/09/04,0
6576.TWO,逸達,上櫃,生技醫療業,TW0006576002,2018/06/29,0
6577.TWO,勁豐,上櫃,電腦及週邊設備業,TW0006577000,2017/03/21,0
6578.TWO,達邦蛋白,上櫃,農業科技業,TW0006578008,2018/09/18,0
6579.TW,研揚,上市,電腦及週邊設備業,TW0006579006,2017/08/21,0
6580.TWO,台睿,興櫃,生技醫療業,TW0006580004,2017/06/20,1
6581.TW,鋼聯,上市,綠能環保,TW0006581002,2018/01/30,0
6582.TW,申豐,上市,橡膠工業,TW0006582000,2017/06/14,0
6583.TWO,友松,興櫃,文化創意業,TW0006583008,2016/08/05,1
6584.TWO,南俊國際,上櫃,電子零組件業,TW0006584006,2023/05/18,0
6585.TW,鼎基,上市,其他業,TW0006585003,2022/05/20,0
6586.TWO,醣基,興櫃,生技醫療業,TW0006586001,2017/09/27,1
6588.TWO,東典光電,上櫃,通信網路業,TW0006588007,2020/07/01,0
6589.TW,台康生技,上市,生技醫療業,TW0006589005,2025/07/21,0
6590.TWO,普鴻,上櫃,資訊服務業,TW0006590003,2018/12/24,0
6591.TW,動力-KY,上市,電腦及週邊設備業,KYG8587R1074,2017/12/28,0
6592.TW,和潤企業,上市,其他業,TW0006592009,2019/12/09,0
6593.TWO,台灣銘板,上櫃,資訊服務業,TW0006593007,2017/11/03,0
6595.TWO,光禹國際,興櫃,文化創意業,TW0006595002,2019/01/11,1
6596.TWO,寬宏藝術,上櫃,文化創意業,TW0006596000,2018/01/04,0
6597.TWO,立誠,上櫃,電子零組件業,TW0006597008,2025/05/08,0
6598.TW,ABC-KY,上市,生技醫療業,KYG0488D1051,2020/06/09,0
6599.TWO,普達系統,興櫃,電腦及週邊設備業,TW0006599004,2017/12/25,1
6603.TWO,富強鑫,上櫃,電機機械,TW0006603004,2004/04/05,0
6604.TWO,儒億,興櫃,電機機械,TW0006604002,2025/10/28,1
6605.TW,帝寶,上市,汽車工業,TW0006605009,2004/03/17,0
6606.TW,建德工業,上市,電機機械,TW0006606007,2023/03/24,0
6609.TWO,瀧澤科,上櫃,電機機械,TW0006609001,2003/09/23,0
6610.TWO,安成生技,興櫃,生技醫療業,TW0006610009,2016/12/27,1
6612.TWO,奈米醫材,上櫃,生技醫療業,TW0006612005,2018/07/18,0
6613.TWO,朋億*,上櫃,其他電子業,TW0006613003,2017/12/28,0
6614.TW,資拓宏宇,上市,數位雲端,TW0006614001,2025/11/25,0
6615.TWO,慧智,上櫃,生技醫療業,TW0006615008,2018/01/22,0
6616.TWO,特昇-KY,上櫃,居家生活,KYG870931030,2018/01/10,0
6617.TWO,共信-KY,上櫃,生技醫療業,KYG409471060,2024/06/18,0
6618.TWO,永虹先進,興櫃,化學工業,TW0006618002,2017/09/15,1
6620.TWO,漢達,上櫃,生技醫療業,TW0006620008,2025/12/23,0
6621.TWO,華宇藥,興櫃,生技醫療業,TW0006621006,2017/08/18,1
6622.TWO,百聿數碼,興櫃,文化創意業,TW0006622004,2017/05/22,1
6624.TWO,萬年清,上櫃,綠能環保,TW0006624000,2019/05/28,0
6625.TW,必應,上市,其他業,TW0006625007,2018/02/07,0
6629.TWO,泰金-KY,上櫃,居家生活,KYG877791072,2019/06/06,0
6634.TWO,欣耀,興櫃,生技醫療業,TW0006634009,2017/06/29,1
6637.TWO,醫影,上櫃,生技醫療業,TW0006637002,2024/06/18,0
6638.TWO,沅聖,興櫃,電腦及週邊設備業,TW0006638000,2017/06/28,1
6639.TWO,源大環能,興櫃,油電燃氣業,TW0006639008,2018/10/31,1
6640.TWO,均華,上櫃,半導體業,TW0006640006,2018/10/23,0
6641.TW,基士德-KY,上市,綠能環保,KYG416551045,2018/09/21,0
6642.TWO,富致,上櫃,電子零組件業,TW0006642002,2019/09/23,0
6643.TWO,M31,上櫃,半導體業,TW0006643000,2019/01/23,0
6645.TW,金萬林-創,上市,生技醫療業,TW0006645005,2023/12/21,0
6648.TWO,斯其大,興櫃,其他電子業,TW0006648009,2017/09/04,1
6649.TWO,台生材,上櫃,生技醫療業,TW0006649007,2019/06/05,0
6650.TWO,帝圖,興櫃,文化創意業,TW0006650005,2017/09/15,1
6651.TWO,全宇昕,上櫃,半導體業,TW0006651003,2021/02/01,0
6654.TWO,天正國際,上櫃,其他電子業,TW0006654007,2018/10/23,0
6655.TW,科定,上市,其他業,TW0006655004,2018/11/28,0
6657.TW,華安,上市,生技醫療業,TW0006657000,2023/06/12,0
6658.TW,聯策,上市,其他電子業,TW0006658008,2023/11/02,0
6659.TWO,天明製藥,興櫃,生技醫療業,TW0006659006,2025/12/22,1
6661.TWO,威健生技,上櫃,生技醫療業,TW0006661002,2021/01/27,0
6662.TWO,樂斯科,上櫃,生技醫療業,TW0006662000,2019/03/26,0
6664.TWO,群翊,上櫃,電子零組件業,TW0006664006,2018/09/12,0
6665.TWO,康聯生醫,興櫃,生技醫療業,TW0006665003,2017/11/23,1
6666.TW,羅麗芬-KY,上市,生技醫療業,KYG569831020,2018/11/19,0
6667.TWO,信紘科,上櫃,其他電子業,TW0006667009,2018/11/13,0
6668.TW,中揚光,上市,光電業,TW0006668007,2018/12/12,0
6669.TW,緯穎,上市,電腦及週邊設備業,TW0006669005,2019/03/27,0
6670.TW,復盛應用,上市,運動休閒,TW0006670003,2018/12/18,0
6671.TW,三能-KY,上市,居家生活,KYG7806W1033,2018/12/11,0
6672.TW,騰輝電子-KY,上市,電子零組件業,KYG9353A1040,2019/04/17,0
6673.TWO,和詮,興櫃,光電業,TW0006673007,2018/03/07,1
6674.TW,鋐寶科技,上市,通信網路業,TW0006674005,2018/11/28,0
6676.TWO,祥翊,興櫃,生技醫療業,TW0006676000,2022/01/19,1
6677.TWO,瑩碩生技,興櫃,生技醫療業,TW0006677008,2018/06/27,1
6679.TWO,鈺太,上櫃,半導體業,TW0006679004,2019/05/09,0
6680.TWO,鑫創電子,上櫃,電腦及週邊設備業,TW0006680002,2019/09/16,0
